year,transistors
1971.875, 2.308241527
1972.307692, 3.554522356
1974.326923, 6.097562352
1979.567308, 29.16377574
1982.307692, 135.7727142
1985.913462, 273.8419634
1988.653846, 121.8814185
1989.471154, 1207.900747
1990.576923, 1207.900747
1992.692308, 3105.900224
1993.413462, 3105.900224
1995.432692, 9646.616199
1996.826923, 9646.616199
1998.894231, 15261.37803
1999.471154, 21673.9217
2000.673077, 37180.26664
2001.201923, 42550.65502
2002.403846, 55730.60401
2003.653846, 106498.5635
2004.807692, 273841.9634
2005.961538, 305052.789
2006.971154, 582941.5347
2007.788462, 805842.1878
2010.384615, 1309747.264
2011.32, 2600000
2013.4, 5000000
2014.82, 5700000
2016.67, 8000000
2017.5, 19200000
